row_id,description,latlon,tokens_used
II,"COL. EDWARD HILL, 3060 acs.,
King & Queen Co; far up in the freshes
of Pamunkcy Riv; 25 Oct. 1695, p","[37]°[41]'[00.0000]""N [77]°[00]'[00.0000]""W",735
II,"CAPT. WILLic S RANDOLPH,
2926 acs., Chas. City Co cn Wynoatke
Por; on Piacon Sw., on S. 2.2. of Jame","[37]°[20]'[00.0000]""N [77]°[04]'[00.0000]""W",389
II,"DENNIS MORRIS. 300 acs., Accomack Co; oa a marshy Island, neae
Oyster Cr., in Assetcaz Inlet, bet.
J","37°52'00.00000""N 75°24'00.00000""W",205
II,"EDWARD GUTHRY, 753 acs., King
& Queen Co; ae the mouth of Mattapony Riv., 25 Oct. 1695, p. 3. On the","[37]°[32]'[00.0000]""N [76]°[48]'[00.0000]""W",254
II,"TOBIAS MICKLEBURROUGH, 217
acs., Middlesex Co., 25 Oct. 1695, p.
4. Beg. on a br. of Corbin’s, alias","[37]°[36]'[00.00000]""N [76]°[37]'[00.00000]""W",225
II,"SAME. 515 acs., same Co. & date;
page 5. Beg. on a br. of Corbin’s, alias
Copeland’s, Cr; adj. Rober","Unfortunately, the information provided is not sufficient to determine precise latitude and longitude coordinates. The description of the land grant lacks specific details such as identifiable landmarks or modern references that can be used to accurately geolocate the area. To provide precise coordinates, more detailed information or historical maps would be necessary.",241
II,"SAME. 300 acs., same Co., date, &
page. Beg. at up. side of Obert’s Cr;
adj. land of Dennis Conners&","[37°18'00.00000""N 76°30'00.00000""W]",224
II,"MR. BARTHOLOMEW FOWLER,
600 acs., Middlesex Co; on head of
Nimcock Cr; beg. at Holobush Sw.
Creeke, ","[37°37'00.00000""N 76°37'00.00000""W]",222
II,"MR, EDWIN THACKER, of Middlesex Co., 2634 acs., Essex Co; on brs.
of Portobago, Cockelshell Cr., & T","[38]°[00]'[00.00000]""N [77]°[00]'[00.00000]""W",358
II,"MR. BARTHOLOMEW FOWLER,
238 acs., K. & Q. Co;.25 Oct. 1695, p.
8. Beg. at Mr, John Coleman, on a br.","[37]°[41]'[00.0000]""N [76]°[52]'[00.0000]""W",220
II,"COL, RICHARD JOHNSON, 32835
acs., K. & Q. Co., in Pamunkey Neck;
on both sides of Goodwin or Monkewi","37°41'00.00000""N 76°52'00.00000""W",427
II,"MARGARET TODD & FRANCIS
TODD, Orphants of Mr. William
Todd; 500 acs., K. & Q. Co., in Stratten Major","[37]°[36]'[00.0000]""N [76]°[48]'[00.0000]""W",226
II,"MR. JOHN SMITH, SENR., 228
acs. Middlesex Co., 25 Oct. 1695, p. 10,
Beg. at the Blockhouse land (now","[37]°[36]'[00.00000]""N [76]°[36]'[00.00000]""W",184
II,"RALPH WORMELEY, ESQR., Secretary of Virginia, 13,500 acs., K. & Q.
Co., in Pamunkey Neck, 25 Oct. 16","[37]°[41]'[00.0000]""N [76]°[52]'[00.0000]""W",1210
II,"EDMOND JENINGS, ESQR., 750
acs, on S. side of Mattapony Riv; beg.
at mouth of Lower Herrin Cr., to m","[37]°[32]'[00.00000]""N [76]°[48]'[00.00000]""W",294
II,"MR. DANIELL PUGH, 99 acs., in
Up. Par. of Nansamond Co; on SE
side of the S. branch; 25 Oct. 1695, p","36°44'00.00000""N 76°40'00.00000""W",186
II,"CAPT. JOHN WRIGHT, 1450 acs.,
Up. Par. of Nansemond Co; on
side of Bennett’s Cr., 25 Oct. 1695, p.
1","[36]°[47]'[30.0000]""N [76]°[31]'[30.0000]""W",337
II,"JOHN CORBELL, 285 acs., Up. Par.
of Nansemond Co; on &. side of the S.
br. of Nansemond Riv. called ","36°44'00.00000""N 76°35'00.00000""W",264
II,"WILLIAM PEAD, 40 acs., Norf. Co:
S. side of the Damms, adj. James Thejabell; 25 Oct. 1695, p. 17. 17","[36]°[50]'[00.00000]""N [76]°[17]'[00.00000]""W",228
II,"JOHN WYATT, 80 acs., Norf. Co.,
25 Oct, 1695, p. 18. Near head of Capt.
Hatton’s Cr., in the W. br. ","36°55'30.00000""N 76°15'00.00000""W",176
II,"ANDREW TAYLOR, Shoemaker,
147 acs., Norf. Co; SW side of Spring's
Mill, in the W. br. of Eliz. Riv; ","36°51'10.00000""N 76°17'30.00000""W",163
II,"MOSES SPRING, 224 aes., Norf. Co,
SW side of the W. br. of Eliz. Riv.,
known by the name of the head","36°47'30.00000""N 76°20'00.00000""W",171
II,"JOHN HINTON, 145 acs., Up. Par.
of Nansemond Co; on part of Sumerton
Road, S. of the little Bridge; ","[36]°[36]'[30.00000]""N [76]°[42]'[30.00000]""W",174
II,"THOMAS NOREFLEAT, JUNR., 130
acs., Up. Par. of Nansemond Co; near
Barbicue Sw; adj. his own, & Dyer’","36°44'00.00000""N 76°34'00.00000""W",160
II,"WILLIAM STAFFORD, 400 acs.,
Up. Par. of Nansemond Co; 25 Oct.
1695, p. 21. Beg. at Epaphraditus Bent","[36]°[44]'[00.0000]""N [76]°[42]'[00.0000]""W",226
II,"THOMAS UNDERWOOD, 350 aes,,
Low. Par. of Is. of Wight €o; adj.
Richard Brassell; & John Silleway; 25","36°55'00.00000""N 76°42'00.00000""W",173
II,"GEORGE ANDREWSON, 175 acs.,
Low. Par. of Is. of Wight Co., 25 Oct.
1695, p. 22. Adj. George Pearce, ","[36]°[54]'[00.00000]""N [76]°[42]'[00.00000]""W",178
II,"WILLIAM .CARVER, 45 acs., Low.
Par. of Is. of ‘Wight Co; adj. Thomas
Mandue, & Phillib Wrayford; 25 ","36°55'00.00000""N 76°42'00.00000""W",142
II,"JOHN PARNELL, 400 acs., Low.
Par. of Is. of Wight Co; 25 Oct, 1695,
p. 23. Adj. James Gardner; Chris","36°52'00.00000""N 76°42'00.00000""W",191
II,"MAJOR JOHN NICHOLLS, 160
acs., Norf. Co; on SW side of the W.
br. of Eliz, River, 25 Oct. 1695, p. 2","[36]°[51]'[00.0000]""N [76]°[17]'[00.0000]""W",241
II,"MR. JOHN BILLOPS, 38 acs., Glocester Co., in Kingstone Par; at the
mouth of Wright’s Cr; adj. Mr. Ta","[37]°[18]'[00.00000]""N [76]°[30]'[00.00000]""W",153
II,"THOMAS REYNOLDS, 252. acs.,
New Kent Co., in St. Peter's Par; along
line of Wharton, to Black Cr; ad","[37]°[34]'[30.00000]""N [77]°[02]'[30.00000]""W",174
II,"THOMAS SNEAD, 450 acs., New
Kent Co., in St, Peter’s Par; on brs. of
Black Cr; adj. John Sandige; & ","[37]°[35]'[00.0000]""N [77]°[00]'[00.0000]""W",208
II,"COL. ANTHONY LAWSON, 200
acs., Pr, Anne Co., in Little Creeke
Precincts; on SW side of the new road,","36°50'36.00000""N 76°10'48.00000""W",182
II,"MR. GEORGE FOWLER, 276 acs.,
Pr. Anne Co., in Little Creeke Precincts:
at head of Brake’s Br., cor, ","[36]°[49]'[00.0000]""N [76]°[10]'[00.0000]""W",210
II,"JOHN RALLS,-650 acs., Up. Par. of
Nansemond Co., near Summerton; 25.
Oct. 1695, p. 27. Beg. at Henry","[36]°[40]'[00.00000]""N [76]°[42]'[00.00000]""W",273
II,"CHARLES WILKS, Brickmaker, 820
acs., Up. Par, of Nansemond Co; on SE
side of Sumerton Cr., & E. side","36°36'00.00000""N 76°42'00.00000""W",235
II,"CAPT. HUGH CAMPBELL, 300
acs., Pr. Anne Co., in Curratuck Precincts; being a seated plantation Capt.","[36]°[33]'[00.00000]""N [75]°[55]'[00.00000]""W",233
II,"THOMAS IVY, 450 acs., Pr. Anne
Co., 25 Oct. 1695, p. 30. Bet. head of
the E. br. of Eliz. River & he","[36]°[47]'[00.0000]""N [76]°[20]'[00.0000]""W",241
II,"WILLIAM MOORE, 400 acs., Pr.
Anne Co., in Linhaven Par., 25 Oct.
1695, p. 31. Beg. at Mr. Henry Wood","[36]°[52]'[00.0000]""N [76]°[10]'[00.0000]""W",239
II,"WILLIAM SYMMONS & JOHN
SIMMONS (Simonds), 500 acs., Surry
Co., in Southwarke Par; E. side of the
mai","[37]°[07]'[00.0000]""N [76]°[55]'[00.0000]""W",232
II,"JOHN BRIGHT & OWEN DOUGHARTY, 300 acs., Norf. Co., 25 Oct.
1695, p. 33. Escheated from Thomas
Hall, ","36°47'00.00000""N 76°17'00.00000""W",157
II,"WILLIAM WATERS, GENT., 200
acs., Accomack Co; at head of Messango
Gr; adj. Robert Johnson; 29 Oct. 1","37°44'00.00000""N 75°37'00.00000""W",176
II,"JOHN WASHBOURNE, 644 acs.,
N’ampton Co; S. side of Pongotegue
River; adj. Charles Scarburgh’s 400 ac","[37]°[22]'[00.0000]""N [75]°[56]'[00.0000]""W",267
II,"WILLIAM CHURCHHILL, GENT.,
40 acs., Middlesex Co., 29 Oct. 1696,
p- 34. Beg. at road to his house, a","[37]°[37]'[00.0000]""N [076]°[36]'[00.0000]""W",171
II,"HENRY WILLIAMSON, GENT.,
166 acs., Essex Co., 29 Oct. 1696, p.
35. Beg. at 420 acs, granted George
M","[38]°[00]'[00.00000]""N [77]°[00]'[00.00000]""W",186
II,"ROBERT BEVERLEY, GENT., 2359
acs., bet. Rappahannock Riv. & head run
of Mattapony Riv; E, on path fr","38°00'00.00000""N 77°00'00.00000""W",206
II,"RALPH WORMELEY, ESQR., 200
acs., Middlesex Co; on run of the Great
Sw; adj. land of William Daniell ","[37]°[42]'[00.0000]""N [76]°[37]'[00.0000]""W",226
II,"MAJOR LEWIS BURWELL, 1733
acs., if Up. part of New Kent Co., in
St. Peter’s Par; on S. side of Pamun","[37]°[34]'[00.0000]""N [77]°[00]'[00.0000]""W",178
II,"HONBLE. RALPH WORMELEY,
ESQR., 3200 acs., Middlesex Co., 29
Oct. 1696, p. 38. Beg, at mouth of
Roseg","37°37'12.00000""N 76°32'24.00000""W",176
II,"SIR WILLIAM SKIPWITH, BARRONETT, 710 acs., K. & Q. Co., 29
Oct. 1696, p, 38. Beg. at the Dragon
$w.,","[37]°[40]'[00.00000]""N [76]°[52]'[00.00000]""W",248
II,"THOMAS TODD, 333 acs., K. & Q.
Co., 29 Oct. 1696, p. 39. Beg. close to
the Indian Path; on Goodrich'","[37]°[41]'[00.0000]""N [76]°[52]'[00.0000]""W",213
II,"MR. THOMAS SCOTT & JOHN
DRUMMOND, 5764 acs., upper part
of New Kent Co; on both sides the S.
br. of ","[37]°[41]'[00.0000]""N [77]°[00]'[00.0000]""W",720
II,"WILLIAM COOKE, 2914 acs., Warwick Co; at head of the old Pequoson
Damms, 29 Oct. 1696, p, 41. Adj. M","37°06'00.00000""N 76°27'00.00000""W",190
II,"MR. HENRY ROYALL, 245 acs.,
Warwick Co; SW on James River; by
Faulkner's Damm; adi. land of William
","37°03'00.00000""N 76°28'00.00000""W",169
II,"MR. SAMUELL CHAPPELL, 218
acs., Warwick Co; on brs, of the E. side
of Deep Cr., 29 Oct, 1696, p. 42.","[37]°[23]'[45.0000]""N [76]°[28]'[30.0000]""W",246
II,"THOMAS ALLEN, 177 acs., Eliz.
City Co; on S. side of Scon’s Damm;
29 Oct. 1696, p. 43. Beg. at a br.","[37]°[01]'[45.00000]""N [76]°[27]'[30.00000]""W",329
II,"THOMAS KING, 225 acs., Warwick
Co., 29 Oct. 1696, p. 44. Adj. Mr.
Samuel Chappell; Mr, Samuel Ramshi","37°05'00.00000""N 76°27'00.00000""W",177
II,"JOHN MALLICOT (Mellicot), 11
A., 40 P., Warwick Co., 29 Oct. 1696,
p. 45. Beg. at a br. of Fisher’s ","37°04'18.00000""N 76°27'00.00000""W",165
II,"JOHN WRIGHT, GENT., of Nansemond Co., 150 acs., at head of Dumplin
Is. Creek, a br. of Nansemond Riv","[36]°[46]'[37.0000]""N [76]°[34]'[12.0000]""W",213
II,"MR. ANTHONY GREGORY, 70
acs., Glocester Co., in Kingstone Par;
adj. Charles Jones; land of Henry
War","[37]°[24]'[00.00000]""N [76]°[32]'[00.00000]""W",185
II,"DORCEY OATLY, 126 acs., Jas.
City Co; being an island of marsh; E.
on the lower Gulf of Chicohamony
","37°22'45.00000""N 76°55'30.00000""W",147
II,"JOHN BOWERS, of Norf. Co., 166
acs., on the NW side of the W. br.
of Eliz, River; nigh Maning’s land","[36]°[53]'[00.0000]""N [76]°[17]'[00.0000]""W",227
II,"JOHN PARKER, Cooper, 87 acs., in
the Up. Par. of Nansemond Co; in the
W. br. of Nansemond River; adj","36°46'00.00000""N 76°43'00.00000""W",164
II,"THO, CONSTANT, 600 acs., Nansemond Co., on Sumerton Run; adj. Jno,
Winborn, & Wm. Moore; 29 Oct. 169","36°36'00.00000""N 76°42'00.00000""W",192
II,"JOHN POTLINE, 38 acs., York Co.,
in New Pocoson Par; adj. his own; Jno.
Clerk; & Dozwell’s land; 29 ","37°08'00.00000""N 76°24'00.00000""W",146
II,"ROBERT DRISDALL (Drisdale),
118 acs., Norf. Co; N. side of the W.
br, of Eliz. River, at head of Hol","[36]°[51]'[00.0000]""N [76]°[17]'[00.0000]""W",202
II,"LIEUT. EDWD. ROSS, 5 rood & 7
pole in James City, whereon he dwells;
29 Oct. 1696, p. 49. From an ol","[37]°[14]'[00.0000]""N [76]°[47]'[00.0000]""W",186
II,"THOMAS BROWN, 170 acs., Norf.
Co; on N. side of land formerly Leuit.
Col. Brown’s; by the Indian Pat","36°55'00.00000""N 76°15'00.00000""W",187
II,"JOHN HEDGPAH, SENR., 450 acs.,
Up. Par. of Nansemond Co; on W. side
of Faustus Cabin Br., out of the","[36]°[36]'[00.0000]""N [76]°[42]'[00.0000]""W",217
II,"JOHN WHITE, 300 acs., Up. Par.
of Nansemond Co; on both sides the
head of Beavor Damm Sw; adj. Jno.
","36°44'26.00000""N 76°42'15.00000""W",167
II,"THOMAS NESHAM  (Neesham),
168 acs., im the upper part of James
City Co; on W. side of Nickatewanees
","37°21'00.00000""N 76°48'00.00000""W",185
II,"CAPT. WM. ARMISTEAD (Armisted), 130 acs., Eliz. City Co.; on his
father’s; & land of Jno. Parson; 29","[37]°[01]'[12.0000]""N [76]°[21]'[36.0000]""W",160
II,"JOHN MACCALIN (Mack Allen),
158 acs., Nansemond Co; on SW side
of the S. br., commonly called Evans’","36°41'36.00000""N 76°42'00.00000""W",160
II,"MR. SAMUEL BUSH, of Norf. Co;
320 acs., Pr. Anne Co; on the black
pequoson, near the Beavor Damms of","36°44'55.00000""N 76°10'30.00000""W",188
II,"DENNIS MACOY, JUNR., 100 acs.,
Norf, Co; E. side of the S. br. of Eliz.
River; 29 Oct. 1696, p. 53. ","36°47'00.00000""N 76°17'00.00000""W",168
II,"WM. CATHERELL, 800 acs., Pr.
Anne Co; near Lucy Keeling; adj. Tho.
Cannon; & land of Cornix; on the
","[36]°[50]'[00.0000]""N [76]°[10]'[00.0000]""W",248
II,"HENRY HOLLAND, 472 acs.,
Up. Par. of Nansemond Co; at head of
the back Sw. of Summerton Cr; 29 Oct.
","36°44'58.00000""N 76°42'30.00000""W",138
II,"ROBERT BEVERLY, 5000 acs., New
Kent Co; S. side of Pamunkey Riv., on
br. of Crump’s Cr; adj. lands o","[37]°[35]'[00.0000]""N [77]°[00]'[00.0000]""W",684
II,"WM. SNEAPS (Snapes), 29 acs.,
Glocester Co., in Petsoe Par; adj. Mr.
Nicholas Smith; up the Spring B","37°23'12.00000""N 76°32'24.00000""W",143
II,"GEO. MASH, 177 acs., Pr. Anne Co.,
in Linhaven Par; adj. Thomas Benson;
Griffin's cor; & near Jno. J","[36]°[52]'[00.0000]""N [76]°[10]'[00.0000]""W",196
II,"MR. THO. MILLER, 660 acs., Glocester Co., in Petsoe Par., 29 Oct. 1696,
p. 58. NE side of a small br","[37]°[24]'[00.00000]""N [76]°[32]'[00.00000]""W",282
II,"WM. WINSTON, 2057 acs., New
Kent Co., in St. Peter’s Par., 29 Oct.
1696, p. 59. Beg. on S. side of
C","[37]°[37]'[00.0000]""N [77]°[05]'[00.0000]""W",185
II,"JOHN SMITH (Smyth), 350 acs.,
Norf. Co; W. side of Simpson’s Cr.
Damms; adj. Joel Martin; in a forke","36°47'10.00000""N 76°14'15.00000""W",151
II,"CAPT. HUGH CAMPBLE (Campbell), 380 acs., Is. of Wight, Co; adj.
Giles Driver; neigh Parson Braieswel","[36]°[55]'[00.00000]""N [76]°[42]'[00.00000]""W",187
II,"JOHN COPELAND, 300 acs., Up.
Par, of Nansemond Co; on NW side of
Beavor Dam Sw; cor. of Masen’s pate","[36]°[44]'[00.0000]""N [76]°[42]'[00.0000]""W",250
II,"MR. BARTHOLOMEW FOWLER,
344 acs., Henrico Co., im Varina Par:
on N, side of James Riv., 29 Oct. 1696","[37]°[25]'00.00000""N [77]°[22]'00.00000""W",209
II,"PHILIP JOHNSON, 400 acs., Eliz.
City Co., 29 Oct. 1696, p. 63. Beg at
a br. of Broad Cr; to Jno, Cot","[37]°[18]'[00.0000]""N [76]°[40]'[00.0000]""W",246
II,"CAPT. HUGH CAMPBELL, 530
acs., on W. side of a Reedy Marsh, 2
br. of Chukatuck; adj. Jerri, Rétter, ","[36]°[53]'[00.0000]""N [76]°[30]'[00.0000]""W",235
II,"THOMAS MILLNER & JNO. MILLNER, sons of Col. Tho. Millner,
dec'd; 734 acs., Up. Par. of Nansemond Co;","[36]°[44]'[00.00000]""N [76]°[42]'[00.00000]""W",221
II,"JOHN BEVILL, 225 acs., in Appamatock River, in Bristoll Par., on the
head of land called the Old Tow","37°13'00.00000""N 77°24'00.00000""W",177
II,"THO. MURRELL, 1538 acs., Chas.
City Co., 29 Oct. 1696, p. 66. 850
acs. granted him, 16 Feb. 1663; 68","[37]°[22]'[00.00000]""N [77]°[23]'[00.00000]""W",249
II,"MR. RICHARD COCK, 975 acs.,
Chas. City Co; on N. side of James
River, 29 Oct. 1696, p. 67. Beg. at
M","[37]°[21]'[00.0000]""N [77]°[10]'[00.0000]""W",233
II,"COL. WM. BYRD, 5644 acs., Hentico Co; on S. side of James River, 29
Oct. 1696, p. 68. Beg. at land o","[37]°[20]'[00.0000]""N [77]°[30]'[00.0000]""W",266
