row_id,description,latlon,tokens_used
II,"GEO. DAWSON & FRANCIS HAYDON, 1000 acs., 22 Oct. 1666, p. 1,
Adj. Col. More Fantleroy’s orphants, th","[37]°[45]'[00.0000]""N [76]°[34]'[00.0000]""W",229
II,"JNO. & THO. BOOCOCK, 750 acs.,
(Co. blank), 26 Oct. 1666, p. 1. Adj.
Tho. Rowland, ——— Vaughan, towa","[38]°[04]'[00.00000]""N [76]°[57]'[00.00000]""W",274
II,"RICHARD HEABERD, W’moreland
Co., 26 Oct. 1666, p. 2. Mentions’ Mr.
(Tho. ?) Pope.","[38]°[06]'[00.00000]""N [76]°[55]'[00.00000]""W",131
II,"ANDREW . MONROWE, 920 acs.
W’'moreland Co., 26 Oct. 1666, p. 2.
Mentions Potomack River,’ Thomas
St ","[38]°[08]'[00.00000]""N [76]°[55]'[00.00000]""W",268
II,"WILLIAM PEASLY, 390 acs. New
Kent Co., S. side the freshes of Yorke
Riv., p. 3, 26 Oct. 1666. Beneat","[37]°[32]'[00.0000]""N [76]°[48]'[00.0000]""W",192
II,"WM. GREY & CHRISTOPHER
BLACKBORNE, 775 acs.,..S. side of
Rappa. Co. Upon James Gaynes, running to sw","[38°01'00.00000""N 77°00'00.00000""W]",224
II,"WM. GREY, 363 A., 1 R., & 4 Per.,
Rappa. Co., Sittingborne Parish, S. side
of Rappa. Riv., beg. on J","[38]°[00]'[00.00000]""N [77]°[00]'[00.00000]""W",197
II,"JOHN PAINE, 1585 acs. Rappa. Co.,
p. 4, 26 Oct, 1666.. (Mutilated.) (The
following names appear unde","[38]°[20]'[00.00000]""N [77]°[00]'[00.00000]""W",223
II,"MAJOR JNO. WEIRE, 3000 acs., p.
4, 26 Oct. 1666. (Mutilated.) S$.’ side
Rappa. River, on S. E. point","[37]°[55]'[00.0000]""N [76]°[48]'[00.0000]""W",451
II,"JOHN WALTON, (WATTON), &
ELIZABETH, his wife 450 acs.-Isle of
Wight Co., p. 5, 26 Oct. 1666. Beg.
ne","[36]°[55]'[00.0000]""N [76]°[42]'[00.0000]""W",248
II,"RICHARD BUTT, 200 acs. Low.
Norf. Co., p. 5, 26 Oct. 1666. At the
head of Robert Butt, beg. by the C","36°47'00.00000""N 76°13'00.00000""W",160
II,"ELIZABETH ORDELANT, ‘Widdow,
650 acs, according to the ancient & lawfull bounds thereof, Nancimond C","[36]°[46]'[00.00000]""N [76]°[34]'[00.00000]""W",239
II,"MR. WM. BAUGH, 577 acs. Henrico
Co., N. side of Appamattock Riv., p. 5,
16 Apr. 1668. (Mutilated). B","[37]°[20]'[00.0000]""N [77]°[24]'[00.0000]""W",217
